run_id,spacing,arm_mode,hinge_cw,tip_cw,main_clutch,hinge_clutch,v_wind,t_stop,E_init_j,elec_total,main_gen_j,hinge1_j,hinge2_j,fric_j,aero_j,main_clutch_j,hinge_clutch_plus_genheat_j,peak_shaft_rpm,peak_fly_rpm,final_residual_j,runtime_s
1,25cm,upper_double,15,1,rectifier,oneway,6.0,119.95,2393.6855444943976,1022.5767386173808,2.8340626393461053,175.77856900465176,843.9641069733829,816.4519880174755,192.8526103750603,0.7301037578082993,13.89854030097458,56.15499912853319,51.72969461910747,-333.25850905340485,12.304106712341309
2,25cm,upper_double,15,1,oneway,oneway,6.0,119.95,2364.1935422423035,978.946942152365,2.1669985257673168,188.88915665256576,787.8907869740318,819.7622414991838,189.85477637269983,0.7040242993415217,12.193638270764032,54.06132342580108,49.67879361052679,-348.88540852840924,12.929901123046877
3,25cm,upper_double,15,2,rectifier,oneway,6.0,119.95,2573.173616711198,964.715753115168,1.835498204257252,292.3167222743874,670.5635326365233,930.2575145521664,227.03168764449345,0.6924416398938934,12.600914297394272,51.62659136187653,47.24962222345936,-423.1237751042004,13.087312698364258
4,25cm,upper_double,15,2,oneway,oneway,6.0,119.95,2651.4811192677685,978.7970876313324,3.4431827339478147,313.8878884970697,661.466016400315,954.2182040445776,240.73316134436985,0.7745107818596154,17.5929239722485,54.041954367188126,49.64640038098258,-444.2177915757934,13.735930919647217
5,25cm,upper_double,15,3,oneway,oneway,6.0,119.95,2833.247122656124,1027.136964439463,3.898549739915505,349.93554421913234,673.3028704804155,1028.0744789435107,248.88368806286783,0.8013752618412977,19.64700108553042,53.91848306098731,49.534845124797776,-482.8094285031516,25.235520124435425
6,25cm,upper_double,15,3,rectifier,oneway,6.0,119.95,2779.7776709719324,1005.7564188734568,3.67095095885015,347.0435271493903,655.0419407652164,1014.3720155849308,243.20049507399557,0.7950858966471933,18.99752758795947,53.6718198093765,49.28884550365812,-470.87877073245,25.62512516975403
7,25cm,lower_double,15,1,oneway,oneway,6.0,119.95,1363.672653879317,498.3214997231887,5.052872139686449e-05,216.2205850058354,282.100864188632,447.8749934765212,269.6956945821809,0.4838485330265203,0.6382534931334856,42.57099277543086,38.38592486943281,-134.44728475647344,22.268970012664795
8,25cm,lower_double,15,1,rectifier,oneway,6.0,119.95,1348.208746491933,483.1793355484363,0.0,182.73402269290057,300.44531285553575,430.35809967287287,294.5302120531613,0.479423775705032,0.6175459158745513,41.91499774544828,37.77108991728898,-127.1550817509767,22.58516907691956
9,25cm,lower_double,15,2,oneway,oneway,6.0,119.95,1536.026319378759,546.7162641438456,0.0,158.01876490743632,388.6974992364092,505.7609488135215,336.54500076483606,0.4404358041014549,0.6888234339114473,39.36277071132181,35.334220439542484,-135.2556390671839,21.874906539916992
10,25cm,lower_double,15,2,rectifier,oneway,6.0,119.95,1560.1020077025248,557.0089826544636,0.0,167.8635131165159,389.14546953794775,512.373239498392,340.29542824626054,0.4485149494319182,0.7008734310981266,40.78113876080996,36.69548211234186,-137.99822956716685,22.89215064048767
11,25cm,lower_double,15,3,oneway,oneway,6.0,119.95,1722.797136294592,617.9569413788888,0.0046921392554432,191.1815663135658,426.77068292606754,596.8122202219726,336.3249406327829,0.5111894163149205,1.1384071904677022,43.563438012638805,39.20136202180177,-157.6622496202649,22.201058864593502
12,25cm,lower_double,15,3,rectifier,oneway,6.0,119.95,1791.6180221749808,638.7461896471495,0.0069133446386184,187.21850302823304,451.5207732742779,610.0109971950305,367.860155480226,0.5235633395783404,1.2229020087201214,43.52709812189188,39.36350574424777,-160.8194490427877,22.042609691619877
13,50cm,upper_double,15,1,oneway,oneway,6.0,119.95,2375.5496560153315,980.5854041037508,2.4007141008789445,197.21143116453325,780.9732588383386,820.1193093379684,189.7471525064757,0.7144597835163021,12.73562280069656,55.17899793010152,50.77356984915264,-357.7936767826093,25.83412504196167
14,50cm,upper_double,15,1,rectifier,oneway,6.0,119.95,2427.7178608717395,1009.976757572593,2.956764956216684,198.1053060364776,808.9146865798988,837.9818787036259,197.1527855060961,0.7445300167335618,14.285912049181984,56.18886503772147,51.77417622597408,-353.63920677826945,26.29424405097961
15,50cm,upper_double,15,2,oneway,oneway,6.0,119.95,2550.09999266655,939.7404627614612,3.7480398979785967,299.25387108674107,636.7385517767416,925.4873754929253,226.27584520483188,0.7860787515759956,18.36676746554641,54.52097084488452,50.12157893854444,-424.3792830759603,26.7922625541687
16,50cm,upper_double,15,2,rectifier,oneway,6.0,119.95,2662.0092776634037,988.7789116815588,3.762869202424779,312.3600531440919,672.655989335042,959.4998525995434,242.39295422361732,0.7933348631190864,18.44634408535718,54.51585725618756,50.11222322950048,-436.9294537013248,27.90444231033325
17,50cm,upper_double,15,3,oneway,oneway,6.0,119.95,2781.026993107212,1004.8525635552596,4.555334650696302,344.9180141551081,655.3792147494553,1013.9784285465588,242.2484980179638,0.8300556665120262,21.37270063027057,54.77350584496034,50.37710999541998,-472.0520694799893,27.610955953598022
18,50cm,upper_double,15,3,rectifier,oneway,6.0,119.95,2821.600561208459,1022.040485559945,4.511947925282848,353.4447668731594,664.0837707615027,1027.31075970144,249.3090540968555,0.8395482650246912,21.6948866237576,54.41705705158771,50.01674479079425,-473.9681663951496,28.663414239883423
19,50cm,lower_double,15,1,oneway,oneway,6.0,119.95,1322.1737204360518,482.7210551183307,0.0,206.43228427110628,276.2887708472244,436.0825991789744,261.46291001889966,0.465366969674679,0.5889725319832855,41.067831010366056,36.87993321334348,-129.4379947012428,19.10633063316345
20,50cm,lower_double,15,1,rectifier,oneway,6.0,119.95,1321.4912373593495,474.2639894753678,0.0,177.00596942179808,297.2580200535697,426.2512058459817,284.4119706095332,0.4633935038489157,0.6017548927233967,40.70462736192638,36.5527687500242,-124.25376700903372,19.16911005973816
21,50cm,lower_double,15,2,oneway,oneway,6.0,119.95,1546.365929254801,556.3625377497183,0.0,186.3705696325189,369.9919681171993,516.1030864046961,320.85439117367736,0.4453483838315168,0.6972287347083294,40.41144876045062,36.298475401621225,-140.83312608043866,17.55587363243103
22,50cm,lower_double,15,2,rectifier,oneway,6.0,119.95,1557.0316456104922,554.5947682338676,0.0,164.69089939612724,389.9038688377404,509.8234143784179,341.77278484662133,0.4540431121827165,0.7263461471667884,41.6929004911713,37.65076561896253,-137.82930590925457,15.108311653137209
23,50cm,lower_double,15,3,oneway,oneway,6.0,119.95,1779.5134648375918,634.2858508172233,0.0060829612439856,183.50303833315056,450.7767295228287,607.1679214570803,365.21360222889615,0.5136898544212075,1.1829362084197832,43.48936060813767,39.30871352604452,-158.72950395290422,10.173578262329102
24,50cm,lower_double,15,3,rectifier,oneway,6.0,119.95,1774.0201000348077,630.7410838399012,0.001063773447066,175.5404103450577,455.1996097213965,603.931980666199,368.64964063165536,0.5068601876050433,0.967368263204392,42.93018082822688,38.76647505958107,-156.96337945588698,9.46764326095581
